address,lon,lat
서울특별시 강동구 명일동 41,127.151840596585,37.5494891843664
서울특별시 양천구 신정동 333,126.87359680782,37.5177128493315
서울특별시 구로구 개봉동 261-10,126.856695691427,37.490297601492
서울특별시 강동구 길동 320-2,127.142899793065,37.5447282962684
서울특별시 동작구 상도동 264-124,126.936804355877,37.4981642041409
서울특별시 동대문구 용두동 39-860,127.042162628397,37.573736716309
서울특별시 종로구 동숭동 4-147,127.005937025245,37.5833495043314
서울특별시 송파구 석촌동 175-12,127.105943658802,37.5056545645796
서울특별시 마포구 망원동 435-37,126.902743030787,37.5604855877796
서울특별시 금천구 시흥동 984-16,126.902918449204,37.4423132650331
서울특별시 성북구 정릉동 206-67,127.013416667835,37.6076219629118
서울특별시 영등포구 양평동1가 148-9,126.88939005232,37.5234180757097
서울특별시 광진구 중곡동 85-1,127.09158934347,37.558100316619
서울특별시 도봉구 방학동 736,127.028848254054,37.6622481099352
서울특별시 강동구 천호동 145-15,127.135420190121,37.5403928542673
서울특별시 도봉구 방학동 608-57,127.031665361885,37.6687586852202
서울특별시 강서구 화곡동 840-3,126.858899026935,37.5314779267854
서울특별시 종로구 창신동 629-62,127.009043051725,37.5764411167039
서울특별시 강남구 역삼동 747-5,127.03786193249,37.4957052908827
서울특별시 은평구 대조동 48-2,126.919732192696,37.6120240605126
서울특별시 강북구 우이동 5-5,127.01343707647,37.6624873798057
서울특별시 도봉구 도봉동 566-15,127.044249430307,37.6838907236371
서울특별시 중랑구 면목동 105-4,127.089600611672,37.5886359194834
서울특별시 강동구 암사동 425-22,127.137001350324,37.5518291151008
서울특별시 성북구 길음동 1285,127.019032016559,37.6096747261883
서울특별시 서대문구 홍은동 277-123,126.934642480096,37.5824179529066
서울특별시 관악구 신림동 1733,126.931178515716,37.4638903779024
서울특별시 노원구 공릉동 758,127.083084399952,37.6259281351867
서울특별시 서대문구 대현동 27-20,126.943156946382,37.5580314270375
서울특별시 금천구 독산동 182-33,126.905848665155,37.4702181903192
서울특별시 서대문구 연희동 100-3,126.929754478798,37.5721537232107
서울특별시 마포구 합정동 386-10,126.910836271382,37.5508826604762
서울특별시 양천구 신월동 71-22,126.832033467059,37.5373990124368
서울특별시 서대문구 남가좌동 5-218,126.921559042191,37.5815144865804
서울특별시 광진구 중곡동 296-27,127.087904304522,37.5682278821648
서울특별시 강서구 화곡동 827-13,126.858908983995,37.534180038863
서울특별시 은평구 신사동 29-26,126.910277946543,37.5964249003592
서울특별시 용산구 이촌동 426,126.97681095732,37.5172359865554
서울특별시 서대문구 연희동 170-149,126.933815547861,37.5775760924309
서울특별시 중랑구 면목동 66-76,127.093886303358,37.5859849320115
서울특별시 강서구 화곡동 24-294,126.847463476003,37.5433642927688
서울특별시 종로구 청운동 1,126.968196064077,37.5912867191491
서울특별시 광진구 군자동 62-12,127.074834775752,37.5549108814129
서울특별시 종로구 명륜1가 38-3,126.998234649732,37.5872824752072
서울특별시 용산구 이태원동 206-12,126.992833640027,37.538862540002
서울특별시 은평구 역촌동 30-46,126.91942839474,37.6037643936495
서울특별시 동작구 노량진동 84-34,126.942326012757,37.5114402781491
서울특별시 서초구 방배동 462-21,126.985624876658,37.4803318094918
서울특별시 구로구 고척동 220-15,126.854717310791,37.5070033424868
서울특별시 도봉구 도봉동 62-3,127.047040074139,37.6825895323012
서울특별시 강북구 미아동 791-3140,127.01183379162,37.625103377899
서울특별시 종로구 창신동 275,127.015134374241,37.5735515436974
서울특별시 송파구 잠실동 200-11,127.081388268577,37.5089017046674
서울특별시 성북구 정릉동 227-73,127.014708689179,37.6101172794713
서울특별시 강북구 수유동 273-3,127.016484827988,37.6467872838866
서울특별시 강동구 암사동 482-11,127.132829966193,37.5504794115851
서울특별시 관악구 봉천동 1641-17,126.967361811677,37.4731348754746
서울특별시 강남구 삼성동 93-4,127.061425128646,37.5171785020623
서울특별시 은평구 갈현동 6-15,126.918320802752,37.6273077157302
서울특별시 강서구 가양동 257-1,126.838333685168,37.5710213869698
서울특별시 도봉구 도봉동 570-3,127.044330823724,37.6857872512751
서울특별시 강동구 천호동 191-13,127.131341374511,37.5396383692922
서울특별시 관악구 신림동 630-7,126.921917626936,37.4716348465448
서울특별시 송파구 문정동 48-9,127.124017425804,37.4874042125976
서울특별시 서대문구 연희동 613-5,126.926895603863,37.5740516448278
서울특별시 송파구 삼전동 61-13,127.091754636348,37.5026374388154
서울특별시 강서구 등촌동 515-3,126.858734357192,37.5470409630227
서울특별시 광진구 중곡동 169-56,127.084088792053,37.5680137918637
서울특별시 서대문구 연희동 163-13,126.93521787679,37.5784492127567
서울특별시 구로구 개봉동 322-12,126.851985015318,37.4917753012089
서울특별시 마포구 서교동 449-36,126.917464763329,37.5573521376166
서울특별시 중랑구 중화동 301-70,127.07878402127,37.5981913527137
서울특별시 중랑구 상봉동 84-39,127.092849355096,37.5947584409906
서울특별시 성북구 정릉동 716-19,127.003775527635,37.6105263739182
서울특별시 관악구 신림동 631-26,126.922340517753,37.471214623737
서울특별시 관악구 신림동 599-37,126.918479359028,37.4757505903101
서울특별시 강북구 수유동 279-187,127.012227151035,37.6482556843886
서울특별시 강북구 미아동 772-15,127.020939728874,37.6243472663912
서울특별시 동대문구 장안동 431-7,127.065466495284,37.5637392793157
서울특별시 강서구 가양동 448,126.85578640067,37.5612004432942
서울특별시 강동구 길동 380-6,127.13864976801,37.5388234399032
서울특별시 동작구 상도동 361-63,126.935807579606,37.5046709105241
서울특별시 강서구 화곡동 24-340,126.847646936263,37.5484620174566
